Sensor vs Time;21.11.2011 00:00:00;21.11.2011 01:00:00;21.11.2011 02:00:00;21.11.2011 03:00:00;21.11.2011 04:00:00;21.11.2011 05:00:00;21.11.2011 06:00:00;21.11.2011 07:00:00;21.11.2011 08:00:00;21.11.2011 09:00:00;21.11.2011 10:00:00;21.11.2011 11:00:00;21.11.2011 12:00:00;21.11.2011 13:00:00;21.11.2011 14:00:00;21.11.2011 15:00:00;21.11.2011 16:00:00;21.11.2011 17:00:00;21.11.2011 18:00:00;21.11.2011 19:00:00;21.11.2011 20:00:00;21.11.2011 21:00:00;21.11.2011 22:00:00;21.11.2011 23:00:00
DXB670A;0,219444;0,019444;0,069444;0,011111;0;0,013889;0,055556;0,625;1,016667;2,033333;2,836111;3,908333;3,455555;3,583333;2,613889;2,855556;4,072222;3,824512;4,085873;3,805014;3,631579;3,183333;2,994444;1,245125
DXB670B;0,272222;0,397222;0,116667;0,002778;0,005556;0,069444;0,1;0,525;2,069444;2,325;4,35;3,722222;5,202778;5,172222;3,425;3,875;4,586111;4,771588;5,116343;3,615599;4,243767;4,041667;3,369444;2,130919
DXB670C;0,038889;0,061111;0,013889;0,072222;0,1;0,025;0,15;0,647222;2,077778;4,505556;3,588889;3,741667;2,847222;3,891667;3,236111;4,147222;4,994444;4,334262;4,310249;5,038997;4,936288;4,063889;2,7;2,846797
DXB670E;0,430556;0,027778;0,019444;0;0,005556;0;0,044444;0,241667;0,661111;0,811111;1,161111;1,622222;2,208333;1,447222;1,680556;1,811111;1,616667;1,707521;1,509695;1,805014;1,285319;2,002778;0,705556;0,164345
DXB670F;0,113889;0,144445;0,033333;0;0,011111;0;0,133333;0,491667;1,116667;1,219444;1,775;1,452778;1,669444;1,566667;2,555556;2;2,466667;2,721448;2,282548;2,554317;2,01662;3,019444;3,069444;1,370474
DXB670G;0,072222;0;0;0;0;0;0,038889;0,152778;0,619444;0,958333;1,125;0,644444;0,930556;2,213889;1,594444;1,872222;1,905556;1,89415;1,240997;1,807799;1,049862;1,305556;1,597222;0,119777
DXB671A;1,747222;0,408333;0,369444;0,322222;0,144445;0,169444;0,602778;1,130556;2,288889;5,658333;8,494445;8,055555;7,491667;6,477778;6,375;6,094444;6,425;8,963788;8,457064;8,030641;4,750692;5,383333;3,491667;4,674095
DXB671B;0,377778;0,077778;0,105556;0,044444;0,013889;0,088889;0,602778;2,144444;4,877778;6,525;7,216667;8,613889;8,041667;8,594444;6,675;7,169445;9,333334;8,818941;10,24377;9,515321;6,224377;4,552778;2,022222;1
DXB671C;0,15;0,763889;0,158333;0,144445;0,244444;0,294444;0,683333;2,730556;6,7;9,255555;7,397222;10,19167;9,488889;10,31944;7,291667;9,969444;11,29722;9,949861;9,443213;7,754875;6,645429;5,008333;3,944444;2,799443
DXB672A;0,144445;0,258333;0,130556;0,4;0,363889;0,036111;0,069444;0,561111;2,019444;2,830555;2,358333;2,916667;2,841667;3,647222;4,877778;4,738889;2,847222;1,877437;2,578947;0,590529;1,387812;0,825;1,147222;0,091922
DXB672B;0,344444;0,158333;0,152778;0,25;0,463889;0,113889;0,519444;1,188889;3,608333;8,313889;10,68611;11,88889;8,091666;9,830556;9,697222;9,911111;9,277778;10,18106;9,844875;7,203342;5,955678;4,961111;5,525;2,108635
DXB672C;1,416667;0,541667;0,097222;0,025;0,011111;0,058333;0,391667;1,216667;4,091667;6,363889;5,138889;7,808333;7,486111;8;7,186111;7,058333;8,419445;7,45961;6,6482;6,662952;6,32964;4,688889;4,747222;2,29805
DXB673A;1,188889;1,230556;1,05;1,069444;1,077778;1,041667;0,519444;1,683333;2,077778;4,458333;6,2;6,097222;8,133333;8,105556;5,652778;4,516666;6,725;6,501393;6,767313;6,509749;3,249307;4,4;4,466667;1,194986
DXB673B;0,841667;0,122222;0,111111;0,011111;0,041667;0,055556;0,502778;1,230556;1,822222;3,061111;2,7;2,661111;2,616667;3,125;2,094445;2,397222;3,244444;1,51532;3,426593;3,807799;4,066482;3,738889;1,655556;0,557103
DXB673C;0,077778;0,411111;0,047222;0,072222;0,013889;0,038889;0,044444;0,388889;2,35;1,852778;2,230556;3,702778;2,716667;2,647222;2,061111;4,372222;2,536111;4,395543;3,207756;4,08078;2,803324;2,691667;1,261111;0,406685
DXB674A;2,563889;0,838889;0,675;0,508333;0,086111;0,125;0,716667;1,877778;3,538889;5,588889;5,283333;6,477778;6,111111;6,616667;5,891666;5,622222;5,933333;5,672223;6,727778;5,841667;6,980556;8,391666;8,619444;5,3
DXB674B;4,305555;2,597222;1,338889;0,677778;0,086111;0,133333;0,772222;2,891667;4,230556;4,708333;4,35;8,738889;5,591667;7,641667;5,897222;6,947222;9,069445;9,458333;9,141666;9,336111;5,486111;5,961111;6,061111;6,780556
DXB674C;1,558333;0,658333;0,052778;0,052778;0,091667;0,147222;1,427778;1,630556;4,272222;4,602778;5,672222;6,047223;6,775;5,238889;6,397222;8,294444;4,925;6,161111;4,441667;8,038889;5,275;4,033333;4,319445;3,236111
DXB675A;0,066667;0,402778;0,052778;0,019444;0,066667;0,202778;0,377778;0,966667;2,202778;3,230556;2,636111;2,361111;2,658333;2,938889;3,386111;3,088889;3,372222;2,988889;2,347222;1,622222;1,230556;0,630556;0,247222;0,691667
DXB675B;1,983333;1,536111;0,375;0,158333;0,211111;0,377778;1,536111;4,619444;10,81389;11,97222;12,13333;12,74444;11,39167;11,03889;13,97778;12,91667;13,72778;14,5;14,16944;11,27222;8,394444;7,044445;5,375;4
DXB676A;0,369444;0,111111;0,011111;0,036111;0,022222;0,138889;0,197222;0,577778;2,238889;2,330555;1,463889;1,394444;2,538889;1,669444;2,055556;1,730556;1,794444;3,178273;2,141274;3,654596;2,263158;1,577778;0,825;1,175488
DXB676B;0,136111;0,444444;0,088889;0,008333;0,025;0,055556;0,2;1,269444;3,222222;3,819444;3,158333;4,044445;4,127778;4,216667;3,525;4,888889;4,616667;6,635098;4,354571;4,643454;4,595568;2,333333;2,025;1,626741
DXB676C;0,694444;0,736111;0,711111;0,588889;0,366667;0,230555;0,366667;1,838889;3,030555;3,622222;3,605556;4,622222;3,086111;2,075;2,797222;3,919445;3,816667;4,718663;4,645429;2,456825;4,756233;3,280555;2,288889;0,732591
