Sensor vs Time;21.11.2011 00:00:00;21.11.2011 01:00:00;21.11.2011 02:00:00;21.11.2011 03:00:00;21.11.2011 04:00:00;21.11.2011 05:00:00;21.11.2011 06:00:00;21.11.2011 07:00:00;21.11.2011 08:00:00;21.11.2011 09:00:00;21.11.2011 10:00:00;21.11.2011 11:00:00;21.11.2011 12:00:00;21.11.2011 13:00:00;21.11.2011 14:00:00;21.11.2011 15:00:00;21.11.2011 16:00:00;21.11.2011 17:00:00;21.11.2011 18:00:00;21.11.2011 19:00:00;21.11.2011 20:00:00;21.11.2011 21:00:00;21.11.2011 22:00:00;21.11.2011 23:00:00
DXB767A;0,066667;0,011111;0,036111;0,002778;0,047222;0;0,122222;0,183333;1,077778;1,013889;2,719445;3,022222;3,083333;1,611111;1,797222;2,216667;2,991667;2,91922;1,617729;1,89415;1,983379;2,1;3,925;1
DXB767B;5,008333;4,425;4,447222;5,052778;4,730556;4,361111;4,563889;5,019444;4,802778;6,802778;5,841667;7,180555;6,702778;5,805555;6;5,911111;6,377778;5,785515;4,839335;5,721448;5,210526;3,641667;3,391667;3,111421
DXB767C;0,905555;0,619444;0,177778;0,930556;0,444444;0,119444;0,336111;0,741667;2,055556;2,916667;5,055555;4,397222;3,502778;4,719444;4,277778;4,161111;4,436111;2,481894;2,880886;3,81337;3,188366;2,486111;1,75;1,830084
DXB768A;0,636111;0,713889;0,2;0,102778;0,030556;0,063889;0,122222;0,247222;1,177778;3,172222;3,058333;2,905555;3,041667;2,022222;2,025;1,827778;3,116667;2,333333;1,661111;2,888889;1,388889;1,175;1,5;1,216667
DXB768B;1,775;1,963889;2,130556;1,994444;1,797222;1,008333;0,877778;1,011111;2,344444;2,225;3,361111;3,508333;2,836111;3,344445;3,580555;2,247222;2,175;2,380556;1,522222;1,322222;0,655555;1,463889;1,708333;0,347222
DXB768C;1,797222;1,433333;0,433333;0,205556;0,036111;0,088889;0,433333;1,833333;3,388889;5,052778;5,977778;5,161111;5,966667;6,486111;6,466667;6,419445;6,191667;5,994444;6,911111;5,238889;6,933333;5,508333;3,505556;2,752778
DXB770A;0,091667;0,127778;0,263889;0,063889;0,105556;0,058333;0,502778;2,788889;3,705555;3,352778;2,902778;3,847222;3,427778;3,388889;3,294445;4,394444;3,338889;3,916667;2,919445;2,011111;1,422222;1,002778;0,547222;0,244444
DXB770B;0,047222;0,022222;0,036111;0,030556;0,055556;0,144445;0,452778;2,222222;3,927778;4,152778;3,786111;3,958333;3,697222;4,175;3,813889;4,597222;5,116666;4,95;5,475;3,355556;4,797222;3,094445;2,505556;1,752778
DXB772A;0,305556;0,463889;0,136111;0,044444;0,302778;0,808333;0,161111;1,141667;2,902778;3,655555;3,880556;3,730556;3,686111;3,666667;3,791667;3,497222;4,019444;2,802778;3,647222;4,480556;3,3;1,980556;1,1;1,733333
DXB772B;0,741667;0,016667;0,044444;0,016667;0,161111;0,122222;0,230555;0,780555;1,113889;2,447222;2,036111;1,669444;2,113889;2,694444;0,994444;1,675;3,241667;1,811111;2,536111;2,197222;2,211111;3,013889;0,488889;0,116667
DXB772C;0,097222;0,011111;0;0,027778;0,030556;0,072222;0,447222;0,483333;0,830556;1,005556;2,286111;2,252778;1,202778;0,911111;0,744444;0,922222;1,422222;1,319444;1,155556;1,286111;3,047222;3,05;2,327778;1,322222
DXB774A;0,405556;0,211111;0,102778;0;0,075;0,022222;0,372222;0,7;1,577778;2,033333;2,147222;2,294445;3,113889;2,319444;2,494444;1,563889;1,763889;1,56546;0,902778;0,66482;0,10585;0,416667;0,301939;0,763231
DXB774B;0,038889;0,111111;0,491667;0,019444;0,208333;0,236111;0,313889;1,227778;3,197222;5,05;3,5;3,891667;4,338889;4,558333;5,386111;5,722222;4,205555;4,058496;4,097222;3,783933;1,830084;2,097222;0,617729;0,395543
DXB774C;0,05;0,072222;0,280556;0,002778;0,027778;0,197222;0,377778;0,691667;1,769444;1,555556;1,411111;1,327778;0,725;1,144444;1,030556;1,216667;1,4;1,194986;0,947222;0,509695;0,339833;0,286111;0,121884;0,142061
DXB775A;0,775;0,308333;0,019444;0,058333;0,113889;0,363889;0,236111;0,75;1,986111;1,444444;3,058333;1,908333;2,252778;2,569444;1,941667;2,169445;3,305556;2,252778;2,205555;3,172222;2,255556;1,413889;2,802778;0,386111
DXB775B;0;0,075;0;0,086111;0,013889;0,130556;0,019444;0,372222;0,805556;0,6;0,525;0,658333;0,758333;1,530556;1,541667;1,552778;1,180556;1,472222;0,852778;1,102778;0,347222;0,491667;0,741667;0,705556
DXB775C;0,172222;0,052778;0,102778;0,052778;0,102778;0,277778;0,716667;1,822222;4,183333;4,622222;3,566667;3,208333;4,108333;3,058333;4,408333;4,477777;4,702778;3,538889;3,675;1,947222;1,666667;1,277778;0,611111;0,375
DXB784A;0,308333;0;0,033333;0,016667;0,030556;0,030556;0,416667;0,627778;1,711111;3,547222;2,822222;1,45;3,344445;2,286111;2,05;3,6;5,038889;4,883008;4,508333;4,249308;4,860724;6,425;4,930748;1,175488
DXB784B;0,383333;0,188889;0,108333;0,2;0,169444;0,422222;0,872222;2,247222;4,625;6,172222;4,813889;3,983333;4,35;3,327778;3,947222;4,511111;4,508333;5,309192;5,836111;3,609418;2,245125;2,197222;0,977839;0,654596
DXB784C;0,355556;0,175;0,152778;0,211111;0,252778;0,622222;1,275;2,647222;6,022223;7,933333;6,041667;4,897222;4,763889;5,041667;5,552778;6,138889;6,355556;8,081453;7,097222;5,052739;4,370473;2,008333;1,404432;0,983287
DXB785A;0,547222;0,058333;0,225;1,033333;0,916667;0,025;0,388889;1,272222;2,6;3,875;5,255556;7,883333;5,391667;4,105556;3,652778;5,738889;5,538889;6,428969;6,872222;6,914127;5,29805;5,036111;3,387812;1,849582
DXB785B;0,852778;0,9;0,647222;1,047222;1,091667;1,383333;1,380556;2,988889;5,391667;6,322222;6,469444;4,944445;6,308333;6,833333;9,188889;7,352778;9,030556;10,18384;11,05833;6,880887;6,077994;4,677778;4,33795;2,406685
DXB785C;0,597222;0,836111;0,183333;0,283333;0,172222;0,502778;1,022222;2,908333;4,813889;5,722222;4,766667;3,85;3,544445;4,575;4,813889;4,966667;5,372222;5,370473;5,336111;4,199446;3,451253;2,472222;1,717452;0,991643
DXB786A;1,247222;0,877778;0,85;0,458333;0,330556;0,4;0,130556;0,761111;3,833333;6,038889;5,605556;6,019444;6,411111;4,927778;5,533333;4,222222;4,555555;6,032629;4,783333;6,350916;5,690808;4,815897;4,768383;1,261838
DXB786B;1,238889;1,252778;0,283333;1,372222;0,394444;0,066667;0,713889;1,877778;4,325;6,897223;7,227778;6,841667;5,355556;6,466667;5,705555;7,261111;6,716666;9,021023;7,077778;9,102424;7,295265;5,063951;2,227655;1,801996
DXB786E;0,855556;0,5;1,002778;1,113889;1,027778;0,297222;0,105556;0,341667;0,722222;2,022222;2,088889;1,008333;1,619444;1,480556;1,275;1,15;1,15;1,690808;2,119444;1,745152;1,896936;2,041667;1,867036;0,785515
DXB786F;0,15;0;0;0,005556;0;0;0,002778;0,025;0,394444;0,402778;0,341667;0,183333;0,369444;0,172222;0,494444;0,255556;0,508333;0,331476;0,388889;0,260388;0,337047;0,144445;0,548477;1,334262
DXB786G;0,036111;0;0,030556;0,013889;0,083333;0,022222;0,061111;0,258333;0,663889;0,561111;1,097222;0,661111;0,863889;0,513889;1,091667;0,680556;0,341667;0,955432;0,866667;0,833795;1,245125;0,369444;0,606648;1,142061
DXB795A;0,177778;0,038889;0,044444;0,119444;0,002778;0,030556;0,044444;0,391667;0,905555;1,005556;0,525;1,225;0,733333;0,944444;0,897222;0,841667;2,166667;2,494444;1,422222;2,627778;2,211111;0,391667;0,597222;0,397222
DXB795B;0,113889;0,083333;0,005556;0,030556;0,016667;0,005556;0,136111;1,1;2,275;2,275;3,013889;2,913889;3,325;1,677778;2,163889;2,980556;2,736111;3,338889;2,9;4,655556;2,738889;1,933333;0,555556;0,880556
DXB900A;0,108333;0,044444;0,033333;0,013889;0,047222;0,127778;0,425;1,094444;3,544445;3,158333;2,922222;2,638889;2,033333;2,619444;3,427778;2,347222;2,680556;3,880223;3,922438;5,061281;3,052632;3,169445;1,336111;0,724234
DXB900B;0,786111;0,566667;0,061111;0,052778;0,041667;0,005556;0,105556;0,413889;1,411111;2,497222;2,897222;2,044445;1,675;1,105556;1,569444;2,986111;2,711111;1,961003;2,584487;2,334262;1,889197;1,991667;1,008333;0,222841
DXB900C;0,622222;0,086111;0,05;0;0,047222;0,163889;0,280556;0,630556;1,402778;2,213889;2,097222;1,977778;2,491667;3,669445;2,863889;2,908333;2,583333;4,038997;2,545706;3,428969;2,930748;3,555556;1,955556;1,844011
DXB901A;0;0;0;0;0;0;0,019444;0,094444;0,316667;0,344444;0,613889;0,519444;0,286111;0,730556;0,686111;0,447222;1,236111;0,488889;0,041667;0,038889;0,011111;0,036111;0;0
DXB901B;0;0;0,038889;0;0;0;0;0,061111;0,163889;0,302778;0,072222;0,036111;0,316667;0,213889;0,063889;0,183333;0,208333;0,111111;0,230555;0,266667;0,161111;0,177778;0,177778;0,144445
DXB901C;0,008333;0,002778;0;0,019444;0,008333;0,066667;0,183333;0,3;1,269444;1,738889;2,252778;2,211111;2,1;2,633333;1,447222;3,152778;3,925;1,688889;1,919444;2,572222;2,922222;2,155555;1,622222;0,505556
DXB958A;0,511111;0,316667;0,1;0,236111;0;0,088889;0,294444;0,669444;1,283333;1,583333;2,969445;2,613889;1,788889;2,638889;3,269444;2,380556;3,136111;3,713889;3,019444;3,397222;2,45;2,272222;1,141667;0,336111
DXB971A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB971G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXB980J;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXBA27A;0,061111;0,119444;0,097222;0,066667;0,163889;0,344444;0,727778;3,230556;6,572222;4,552778;2,755556;2,408333;2,652778;2,533333;2,927778;3,411111;5,636111;8,370474;3,941828;2,721448;1,98892;1,180556;0,805556;0,325905
DXBA27B;0,097222;0,155556;0,055556;0;0,111111;0,022222;0,283333;1,636111;3,036111;2,669445;2,225;2,175;2,236111;2,161111;1,944444;1,852778;2,938889;3,643454;1,842105;1,247911;0,470914;0,530555;0,486111;0,130919
DXBA27C;0,116667;0,030556;0,027778;0,016667;0,05;0,086111;0,272222;1,063889;1,880556;2,958333;2,672222;1,241667;1,355556;2,269444;1,986111;2,163889;1,952778;2,320334;1,481995;0,732591;2,279778;1,494444;0,458333;0,097493
DXBA65A;1,247222;1,311111;0,791667;1,044444;0,611111;1,497222;0,336111;0,797222;2,419445;3,975;5,169445;6,211111;6,752778;7,680555;8,958333;8,155556;7,730556;8,783334;9,411111;8,416667;10,24722;7,063889;10,14722;5,813889
DXBA65B;1,519444;0,047222;0,15;0,097222;0,019444;0,258333;0,044444;0,830556;2,188889;2,655555;3,411111;3,113889;3,369444;3,108333;4,966667;3,75;3,936111;4,594444;4,552778;5,102777;5,272222;5,205555;6,061111;3,058333
DXBA65C;2,191667;1,458333;1,45;0,236111;0,575;0,127778;0,180556;0,438889;1,652778;3,733333;4,652778;3,666667;3,908333;3,991667;5,763889;2,938889;5,211111;5,119444;4,630556;5,25;7,127778;3,280555;4,544445;4,425
DXBA65E;0;0;0;0;0;0;0,169444;0,266667;0,883333;1,383333;1,597222;2,511111;3,688889;2,197222;1,422222;1,711111;1,241667;1,747222;2,155555;2,069444;2,436111;2,05;0;0
DXBA65F;0;0;0;0;0;0;0,019444;0,294444;0,647222;1,15;1,252778;2,341667;1,858333;0,9;1,136111;1,005556;2,902778;1,663889;1,522222;2,641667;1,608333;2,169445;0;0
DXBA65G;0;0;0;0;0;0;0,030556;0,488889;3,186111;3,236111;2,841667;2,138889;3,919445;3,125;2,483333;3,061111;5,313889;2,830555;2,997222;2,477778;2,847222;1,708333;0;0
DXBA68A;0,522222;0,541667;0,141667;0,022222;0,025;0,030556;0,225;0,497222;1,522222;2,011111;2,297222;1,691667;2,422222;2,841667;2;1,852778;3,283333;3,094707;2,66482;3,292479;2,080333;2,413889;0,891667;0,941504
DXBA68B;0,608333;0,555556;1,236111;0,327778;0,097222;0,013889;0,044444;0,3;1,655556;2,061111;1,447222;2,369444;1,916667;1,425;0,811111;1,272222;1,655556;1,590529;1,022161;0,649025;0,592798;0,227778;0,322222;0,729805
DXBA68C;0,011111;0,019444;0,019444;0,052778;0,033333;0,038889;0,230555;0,877778;2,008333;2,369444;1,769444;1,638889;2,244444;1,958333;1,869444;2,119444;2,394444;2,520891;0,922438;1,423398;0,67867;0,363889;0,483333;0,075209
DXBA90A;0,097222;0,002778;0,161111;0,008333;0,030556;0,002778;0,005556;0,036111;0,583333;1,036111;1,408333;0,955556;0,95;1,152778;1,683333;1,386111;1,563889;1,738889;1,241667;0,827778;0,663889;0,633333;0,297222;0,102778
DXBA94A;0,061111;0,027778;0,002778;0,005556;0,008333;0,038889;0,038889;0,35;1,230556;1,294444;1,319444;1,205556;2,302778;2,291667;1,663889;2,177778;1,888889;2,142061;1,706371;1,462396;0,714681;0,475;0,869444;0,476323
DXBA94B;0,091667;0,038889;0,013889;0,111111;0,027778;0,063889;0,133333;0,616667;1,433333;1,633333;1,013889;1,316667;1,719444;1,641667;1,111111;2,275;2,180556;2,044568;1,955679;1,119777;0,634349;0,380556;0,516667;0,51532
DXBA94C;0;0;0,022222;0,002778;0;0,005556;0;0,133333;0,452778;0,513889;0,436111;0,644444;0,894444;0,677778;0,930556;0,513889;0,925;0,364903;1,019391;0,610028;0,457064;0,383333;0,177778;0,094708
DXBB23A;0,177778;0,15;0,252778;0,033333;0,041667;0,077778;0,013889;0,127778;0,238889;1,258333;2,002778;2,075;1,677778;2,825;3,366667;2,927778;3,308333;3,363889;3,722222;2,327778;1,611111;1,272222;0,305556;0,030556
DXBB24A;0,044444;0,069444;0,086111;0,113889;0;0,013889;0,1;0,283333;0,258333;1,302778;2,391667;2,577778;2,961111;3,016667;3,697222;3,711111;3,602778;3,116667;3,897222;1,855556;0,683333;0,433333;0,380556;0,094444
DXBB28A;0,402778;0,030556;0,133333;0,013889;0;0,013889;0,036111;0,327778;0,780555;0,486111;0,516667;1,333333;1,961111;1,611111;1,277778;1,341667;1,594444;2,430556;2,666667;2,272222;1,519444;1,566667;2,488889;0,316667
DXBB34A;0,013889;0,019444;0;0,002778;0,005556;0,016667;0,086111;0,444444;0,866667;1,213889;0,944444;1,4;1,438889;1,663889;1,308333;1,452778;1,058333;0,975;0,561111;0,411111;0,219444;0,141667;0,027778;0,038889
DXBB34B;0,030556;0,025;0,030556;0,044444;0,072222;0,013889;0,041667;0,202778;0,625;1,386111;0,891667;0,858333;0,747222;1,161111;0,963889;0,805556;0,891667;1,208333;0,838889;0,413889;0,208333;0,219444;0,097222;0,047222
DXBB70A;9,533334;6,916667;5,316667;4,916667;2,977778;1,522222;1,022222;1,458333;3,147222;4,094444;3,927778;4,608333;5,005556;5,15;7,033333;5,588889;7,130556;7,386111;8,363889;8,480556;12,57778;9,475;12,93056;10,11667
DXBB70B;2,875;3,083333;2,794445;1,930556;0,15;0,288889;0,316667;1,197222;3,208333;5,094444;6,25;7,875;8,025;7,569445;8,463889;7,275;9,347222;7,405556;8,869445;5,944445;8,152778;10,73333;8,761111;3,919445
DXBB70C;2,308333;0,305556;0,347222;0,016667;0,194444;0,083333;0,463889;0,555556;1,527778;2,955555;4,422222;5,05;2,330555;2,733333;3,8;2,672222;2,780555;3,358333;4,513889;4,888889;5,35;3,538889;2,622222;1,911111
DXBB70E;0;0;0;0;0;0;0,308333;0,336111;1,116667;1,872222;3,222222;2,461111;1,394444;1,672222;1,513889;2;2,227778;2,969445;3,344445;3,508333;2,475;3,038889;0;0
DXBB70F;0;0;0;0;0;0;0,222222;0,638889;1,713889;1,744444;3,008333;2,552778;1,905556;1,716667;1,877778;1,558333;2,638889;2,727778;3,541667;2,9;2,505556;3,002778;0;0
DXBB70G;0;0;0;0;0;0;0,022222;0,263889;0,502778;0,577778;1,558333;1,741667;0,341667;2,733333;1,408333;1,494444;1,819444;2,2;2,622222;3,2;2,547222;2,827778;0;0
DXBC01A;0;0;0;0;0;0;0;0;0,091667;0,247222;0,208333;0,180556;0,355556;0,133333;0,105556;0,286111;0,197222;0;0;0;0;0;0;0
DXBC01B;0;0;0;0;0;0;0;0,019444;0,025;0,194444;0,202778;0,105556;0,155556;0,030556;0,236111;0,138889;0;0;0;0;0;0;0;0
DXBC01C;0;0;0;0;0;0;0;0,016667;0;0,036111;0,038889;0,027778;0,083333;0,172222;0,1;0,027778;0,094444;0,211111;0,583333;0,047222;0;0;0;0
DXBC02A;0;0;0;0;0;0;0;0;0;0,005556;0,069444;0,008333;0;0;0,002778;0,033333;0;0;0;0;0;0;0;0
DXBC02B;0;0;0;0;0,011111;0;0;0;0,033333;0;0,013889;0,008333;0,002778;0;0,005556;0,002778;0;0;0;0;0;0;0;0
DXBC05A;4,316667;4,419445;2,661111;2,163889;2,002778;2,044445;1,530556;0,477778;1,441667;3,122222;2,372222;4,030556;4,036111;1,958333;2,094445;2,838889;2,466667;4,680555;5,777778;6,411111;7,897222;6,525;6,775;5,497222
DXBC05B;1,013889;0,297222;0,122222;0,027778;0,047222;0,055556;0,097222;0,658333;2,013889;2,038889;1,936111;1,486111;2,425;1,433333;1,375;1,805556;1,788889;2,508333;1,680556;2,086111;1,369444;0,655555;0,433333;0,386111
DXBC05C;0,433333;0,1;0,222222;0,041667;0,008333;0,191667;0,108333;0,375;2,025;3,797222;5,230556;5,411111;3,35;2,958333;3,016667;3,391667;4,213889;3,558333;3,194444;2,6;1,602778;1,291667;1,105556;0,583333
DXBC06A;4,772222;0,327778;1,488889;0,886111;0,686111;1,594444;1,261111;2,186111;7,969444;10,03333;11,67222;11,18333;11,51111;11,53611;10,56944;11,93333;11,34722;12,95368;12,98611;11,92207;8,598886;7,127778;4,814404;2,927577
DXBC06B;0,833333;0,152778;0,227778;0,091667;0,047222;0,1;0,166667;0,736111;1,45;2,691667;3,722222;2,713889;3,497222;3,830555;4,763889;3,794445;3,863889;4,033426;2,6;3,268698;4,615599;5,213889;3,365651;2,743733
DXBC06C;3,258333;1,933333;1,277778;1,130556;1,094444;0,958333;1,211111;3,025;6,872222;7,725;11,83611;12,46389;10,675;11,98056;11,03333;11,49444;12,36944;11,9626;9,441667;10,15933;10,13092;9,201277;11,52802;4,613332
DXBC08A;0,102778;0,025;0,036111;0,094444;0,138889;0,119444;0,691667;1,866667;2,930556;5,105556;4,627778;4,102778;3,630556;2,966667;4,027778;4,652778;7,097222;5,9;4,15;4,75;3,269444;2,666667;0,747222;0,322222
DXBC08B;0,6;0,497222;0,594445;0,002778;0,019444;0,105556;0,108333;0,858333;4,116667;7,972222;10,36389;7,25;6,297222;6,791667;5,216667;8,75;7,708333;6,947222;5,905556;5,411111;4,711111;3,025;2,711111;2,508333
DXBC08C;1,447222;1,275;0,841667;0,183333;0,091667;0,3;1,077778;2,694444;5,966667;8,252778;9,383333;9,713889;9,56111;8,475;9,341666;10,91667;11,67778;12,125;12,06667;9,786111;6,194445;4,711111;4,291667;1,666667
DXBC44A;3,097222;1,233333;0,622222;1,008333;0,438889;0,677778;0,863889;1,447222;3,133333;3,275;3,677778;3,008333;3,161111;3,127778;2,827778;3,730556;4,513889;5,32312;6,288089;5,813371;5,795014;5,905556;3,511111;1,629526
DXBC44B;0,5;0,830556;1,063889;1,166667;1,147222;1,516667;1,727778;4,858333;3,169445;2,966667;8,094444;2,619444;2,772222;3,766667;3,838889;3,522222;4,452778;4,147632;5,745152;4,573816;4,3241;3,977778;4,022222;1,027855
DXBC44C;0,336111;0,105556;0,005556;0,005556;0,141667;0,033333;0,244444;1,066667;1,372222;3,25;2,372222;2,852778;1,997222;2,311111;3,325;2,166667;2,677778;2,860724;2,869806;3,384401;2,839335;1,663889;1,166667;0,462396
DXBC59A;0,838889;0,825;0,138889;0,155556;0,247222;0,183333;0,755556;1,561111;1,702778;3,197222;4,494444;3,691667;3,508333;2,572222;3,538889;2,808333;4,269444;2,563889;2,761111;2,980556;2,205555;1,219444;1,822222;0,352778
DXBC59B;0,038889;0,005556;0,069444;0,002778;0;0,005556;0,080556;0,269444;0,452778;0,783333;1,116667;1,052778;1,877778;1,619444;1,494444;3,125;1,872222;0,825;0,280556;0,466667;0,152778;0,552778;0,972222;0,438889
DXBC59C;0,583333;0,019444;0;0,019444;0,275;0,438889;1,483333;1,038889;1,855556;2,886111;3,630556;5,738889;3,686111;3,066667;3,758333;4,341667;4,038889;3,677778;2,927778;4,122222;2,536111;2,330555;3,202778;1,283333
DXBC66A;0,002778;0,033333;0,002778;0;0,002778;0,044444;0,113889;0,077778;0,188889;0,138889;0,566667;0,691667;0,672222;0,463889;0,366667;1,094444;0,613889;0,905555;2,45;0,769444;0,619444;1,066667;1,366667;0,377778
DXBC67A;0;0;0;0;0;0;0;0,027778;0,05;0,061111;0,072222;0,327778;0,205556;0,044444;0,125;0,019444;0,1;0,066667;0,044444;0,161111;0,011111;0,005556;0;0
DXBC68A;0,116667;0,169444;0,013889;0,005556;0,013889;0,072222;0,136111;0,533333;1,627778;1,675;1,802778;0,794444;1,694444;1,516667;1,436111;2,583333;2,111111;2,62117;2,463889;2,714681;2,905293;2,994444;1,221607;0,615599
DXBC68B;0,111111;0,05;0,083333;0,072222;0,094444;0,194444;0,319444;1,247222;2,847222;2,066667;2,552778;1,255556;0,858333;0,969445;1,536111;1,4;1,4;1,607242;1,319444;0,783933;0,610028;0,547222;0,301939;0,178273
DXBC73A;0;0;0;0;0;0;0;0,022222;0,177778;0,444444;0,230555;0,363889;0,425;0,425;0,183333;0,358333;0,575;0,780555;0,047222;0,091667;0,011111;0,002778;0;0
DXBC73B;0,419444;0,702778;0,288889;0,011111;0,022222;0,011111;0,033333;0,483333;0,936111;1,488889;2,677778;3,355556;2,841667;3,086111;3,058333;2,955555;2,161111;3,4;3,327778;4,736111;4,116667;3,794445;3,780555;2,4
DXBC73C;0;0,066667;0,022222;0,016667;0;0,016667;0,025;0,305556;0,438889;0,430556;0,594445;0,555556;0,841667;0,741667;0,983333;0,522222;0,808333;1,061111;1,908333;1,788889;1,208333;0,936111;0,95;0,666667
DXBC74A;0;0;0;0;0;0;0,011111;0;0,05;0,075;0,025;0,583333;0,422222;0,258333;0,363889;0,686111;0,705556;0,358333;0,822222;2,961111;2,630556;2,288889;1,597222;0,069444
DXBC74B;0,041667;0;0;0;0,041667;0;0,002778;0;0,05;0,044444;0,380556;0,133333;0,091667;0,061111;0,358333;0,241667;0,436111;0,233333;0,769444;0,727778;0,377778;0,338889;0,491667;0,047222
DXBC74C;0;0,013889;0;0;0;0;0;0,013889;0;0;0;0;0;0,002778;0;0;0;0;0,005556;0,033333;0,008333;0,005556;0,022222;0,011111
DXBC75A;0,072222;0,052778;0,027778;0,008333;0,013889;0,016667;0,052778;0,269444;0,769444;0,702778;0,988889;0,738889;0,7;0,697222;0,919444;0,861111;1,113889;1,339833;1,302778;0,914127;0,509749;0,297222;0,229917;0,116992
DXBC75B;0,666667;0,077778;0,052778;0,041667;0,013889;0,019444;0,158333;0,588889;1,911111;1,616667;1,352778;1,319444;1,152778;1,636111;1,508333;1,85;1,863889;2,222764;2,272222;2,639889;1,938719;1,236111;1,301939;0,325905
DXBC76A;0,069444;0,052778;0,022222;0,063889;0;0,005556;0,033333;0,125;0,591667;0,911111;0,544444;0,416667;0,511111;0,4;0,363889;0,547222;0,444444;0,269444;0,588889;0,7;0,072222;0,063889;0,388889;0,380556
DXBC76B;0,311111;0,172222;0,083333;0,227778;0,019444;0,194444;0,169444;0,675;1,483333;2,219445;1,869444;2,094445;1,783333;2,552778;2,352778;2,508333;3,352778;3,177778;3,077778;2,677778;1,366667;0,983333;0,95;0,441667
DXBC77A;0,016667;0;0;0,002778;0;0,030556;0;0,1;0,336111;0,488889;0,519444;0,744444;0,15;0,347222;0,372222;0,402778;0,186111;0,469444;0,169444;0,111111;0,075;0,027778;0,022222;0
DXBC77B;0;0;0;0;0;0;0,002778;0,016667;0,627778;0,375;0,638889;0,480556;0,208333;0,422222;0,436111;0,469444;0,419444;0,166667;0,166667;0,016667;0,038889;0,002778;0,025;0,022222
DXBC78A;0,002778;0;0;0;0;0,002778;0,002778;0,036111;0,258333;0,105556;0,205556;0,238889;0,502778;0,361111;0,1;0,127778;0,480556;0,283333;0,086111;0,030556;0,033333;0,002778;0,002778;0,038889
DXBC78B;0;0;0;0;0;0,002778;0,005556;0,022222;0,491667;0,566667;0,544444;0,422222;0,236111;0,377778;0,2;0,111111;0,644444;0,355556;0,077778;0,022222;0,022222;0,016667;0,025;0,013889
DXBC78C;0,013889;0;0;0;0;0;0;0,052778;0,180556;0,177778;0,547222;0,141667;0,680556;0,3;0,483333;0,327778;0,45;0,722222;0,383333;0,330556;0,005556;0,011111;0,063889;0,022222
DXBC79A;0;0;0,066667;0;0;0;0;0,033333;0,030556;0,136111;0,911111;0,783333;0,197222;0,25;0,052778;0,383333;0,580556;0,058333;0,297222;0,072222;0,069444;0,011111;0,016667;0,002778
DXBC92A;0;0;0;0;0;0;0;0;0,047222;0,561111;0,091667;0,091667;0,036111;0,069444;0,152778;0,055556;0,333333;0,108333;0,016667;0,005556;0;0;0,002778;0
DXBC93A;0;0;0;0;0;0;0;0;0;0;0;0,005556;0;0;0,041667;0,002778;0;0;0;0;0;0;0;0
DXBC93B;0;0;0;0;0;0;0;0;0;0;0;0;0,005556;0,005556;0,011111;0,005556;0,030556;0;0,002778;0;0;0;0;0
DXBC93C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,013889;0;0;0;0;0;0;0;0;0
DXBC94A;0;0;0;0;0;0;0;0,022222;0,002778;0,013889;0,013889;0;0;0,036111;0;0,008333;0;0;0;0;0;0;0;0
DXBC94B;0;0;0;0;0;0;0;0;0,316667;0,169444;0,138889;0,402778;0,472222;0,425;0,297222;0,308333;0,980556;0,369444;0,102778;0,036111;0,133333;0,008333;0,036111;0,011111
DXBC94C;0;0;0;0;0,002778;0;0;0,022222;0,758333;0,658333;0,633333;0,558333;1,027778;1,633333;2,011111;1,652778;1,144444;0,613889;0,647222;0,636111;0,655555;0,866667;0,963889;0,997222
DXBC95A;0;0;0;0;0;0;0;0;0;0;0,025;0,019444;0,019444;0;0;0;0;0;0;0;0;0;0;0
DXBC95B;0;0;0;0;0;0;0;0,058333;0,183333;0,147222;0,025;0,072222;0,044444;0,002778;0,086111;0,013889;0,008333;0,133333;0;0;0;0;0;0
DXBC95C;0;0;0;0;0;0;0;0;0,111111;0,816667;0,088889;0,005556;0,616667;0,055556;0,013889;0,080556;0,066667;0,216667;0,088889;0,019444;0;0;0;0
DXBC96A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DXBC96B;0,011111;0;0;0;0;0,030556;0,055556;0,136111;0,172222;1,566667;1,816667;0,627778;0,186111;0,416667;0,425;0,175;0,294444;0,319444;0,669444;0,180556;0,113889;0,047222;0,063889;0,013889
